order,seasonal_order,aic,bic
"(3, 1, 3)","(1, 0, 0, 5)",-3194.339378391733,-3158.437906243856
"(1, 1, 3)","(1, 0, 1, 5)",-3189.5918224373945,-3158.188696914786
"(2, 1, 3)","(0, 0, 1, 5)",-3189.0330325397117,-3157.629907017103
"(2, 0, 3)","(1, 0, 1, 5)",-3192.796051175785,-3156.894579027908
"(1, 0, 0)","(0, 1, 1, 5)",-3169.6810460926176,-3156.2271403857117
"(2, 0, 0)","(0, 1, 1, 5)",-3173.794236304012,-3155.855695361471
"(2, 0, 2)","(0, 0, 1, 5)",-3180.7142489220323,-3153.77901933408
"(3, 0, 1)","(1, 0, 1, 5)",-3184.7237734408136,-3153.299338921536
"(3, 1, 3)","(0, 0, 1, 5)",-3188.403203612787,-3152.5139173012344
"(2, 0, 2)","(1, 0, 1, 5)",-3183.917339268727,-3152.4929047494497
"(1, 1, 0)","(0, 1, 1, 5)",-3165.109287755852,-3151.6599657014804
"(0, 1, 0)","(0, 1, 1, 5)",-3160.365134146722,-3151.3989194438077
"(1, 0, 1)","(0, 1, 1, 5)",-3168.820013727889,-3150.8875843220603
"(2, 1, 3)","(1, 0, 1, 5)",-3185.8599174637648,-3149.9706311522123
"(1, 0, 0)","(1, 1, 1, 5)",-3167.6497412792596,-3149.711200336719
"(2, 0, 3)","(0, 0, 1, 5)",-3180.4533017570375,-3149.039513627645
"(3, 0, 0)","(0, 1, 1, 5)",-3171.3774116570685,-3148.9542354788923
"(3, 0, 2)","(1, 0, 1, 5)",-3182.917726792651,-3147.0040873420485
"(0, 1, 1)","(0, 1, 1, 5)",-3160.156561639612,-3146.7118302517824
"(3, 1, 3)","(1, 0, 1, 5)",-3185.8135670719184,-3145.4381199714217
"(0, 1, 0)","(1, 1, 1, 5)",-3158.5036974515615,-3145.0543753971897
"(1, 1, 0)","(1, 1, 1, 5)",-3162.9466888130446,-3145.014259407216
"(2, 0, 1)","(0, 1, 1, 5)",-3167.2262910709132,-3144.810754313627
"(2, 1, 0)","(0, 1, 1, 5)",-3162.523404065515,-3144.5909746596863
"(3, 0, 3)","(0, 0, 1, 5)",-3178.149697943072,-3142.248225795195
"(1, 1, 1)","(0, 1, 1, 5)",-3158.512518077015,-3140.5862095599095
"(1, 0, 2)","(0, 1, 1, 5)",-3162.7444467964265,-3140.3365611500444
"(2, 0, 0)","(1, 1, 1, 5)",-3162.6363129989404,-3140.220776241654
"(0, 1, 1)","(1, 1, 1, 5)",-3158.1330370123887,-3140.206728495283
"(1, 0, 1)","(1, 1, 1, 5)",-3162.2704494698864,-3139.8549127126003
"(3, 0, 1)","(0, 1, 1, 5)",-3165.1685797671344,-3138.269935658391
"(3, 1, 0)","(0, 1, 1, 5)",-3160.6703939001322,-3138.254857142846
"(3, 0, 3)","(1, 0, 1, 5)",-3177.618307807985,-3137.2291516416235
"(0, 1, 2)","(0, 1, 1, 5)",-3153.1639689251465,-3135.24379067744
"(2, 0, 1)","(1, 1, 1, 5)",-3161.428607188006,-3134.529963079263
"(1, 1, 1)","(1, 1, 1, 5)",-3156.4615365137324,-3134.0536508673504
"(2, 1, 1)","(0, 1, 1, 5)",-3156.283495092555,-3133.875609446173
"(2, 1, 0)","(1, 1, 1, 5)",-3156.23737579645,-3133.829490150068
"(2, 0, 2)","(0, 1, 1, 5)",-3159.6652394371185,-3132.77577666146
"(1, 0, 2)","(1, 1, 1, 5)",-3157.0706417704228,-3130.181178994764
"(3, 0, 0)","(1, 1, 1, 5)",-3156.6087768031634,-3129.719314027505
"(0, 1, 2)","(1, 1, 1, 5)",-3151.135891515143,-3128.73566870551
"(1, 1, 2)","(0, 1, 1, 5)",-3150.5627216791395,-3128.162498869506
"(1, 0, 3)","(0, 1, 1, 5)",-3154.602453477186,-3127.722186105626
"(2, 1, 1)","(1, 1, 1, 5)",-3154.272783480829,-3127.3833207051703
"(3, 1, 1)","(0, 1, 1, 5)",-3154.2093835955684,-3127.31992081991
"(3, 0, 1)","(1, 1, 1, 5)",-3157.975554322028,-3126.604514417093
"(2, 0, 2)","(1, 1, 1, 5)",-3157.5366781815897,-3126.1656382766546
"(0, 1, 3)","(0, 1, 1, 5)",-3145.6529774928413,-3123.260429281798
"(3, 1, 0)","(1, 1, 1, 5)",-3149.1995141596253,-3122.3192467880654
"(2, 1, 2)","(0, 1, 1, 5)",-3149.092886526183,-3122.212619154623
"(2, 0, 3)","(0, 1, 1, 5)",-3152.2681542838,-3120.9078423503133
"(1, 0, 3)","(1, 1, 1, 5)",-3150.819709251812,-3119.4593973183255
"(1, 1, 3)","(0, 1, 1, 5)",-3144.289562284529,-3117.4185044312776
"(0, 1, 3)","(1, 1, 1, 5)",-3143.6126567827364,-3116.741598929485
"(3, 1, 2)","(0, 1, 1, 5)",-3147.8999802932613,-3116.5396683597746
"(3, 1, 1)","(1, 1, 1, 5)",-3147.129968829777,-3115.7696568962906
"(3, 0, 3)","(0, 1, 1, 5)",-3151.094706306739,-3115.254349811326
"(2, 0, 3)","(1, 1, 1, 5)",-3148.675595226046,-3112.8352387306327
"(2, 1, 3)","(0, 1, 1, 5)",-3144.0020023402717,-3112.6524348448115
"(1, 1, 3)","(1, 1, 1, 5)",-3142.230899127389,-3110.881331631929
"(3, 1, 2)","(1, 1, 1, 5)",-3146.024199903698,-3110.1838434082847
"(3, 0, 3)","(1, 1, 1, 5)",-3149.0453682683587,-3108.724967211019
"(3, 1, 3)","(0, 1, 1, 5)",-3140.436926752095,-3104.6088496144266
"(2, 1, 3)","(1, 1, 1, 5)",-3140.3504210887168,-3104.5223439510482
"(3, 1, 3)","(1, 1, 1, 5)",-3138.4166654540554,-3098.110078674178
"(3, 0, 3)","(1, 1, 0, 5)",-3033.7588064475444,-2997.906189413333
"(3, 0, 3)","(1, 0, 0, 5)",-3008.2258547121037,-2972.312215261501
"(3, 0, 3)","(0, 1, 0, 5)",-3002.438418711869,-2971.0246305824767
"(2, 0, 3)","(1, 0, 0, 5)",-2993.256487661299,-2961.8214229197815
"(2, 0, 3)","(0, 1, 0, 5)",-2983.3889871307683,-2956.462883019861
"(3, 0, 2)","(1, 0, 0, 5)",-2979.4213126484824,-2947.996878129205
"(3, 0, 2)","(1, 1, 1, 5)",-2982.295507820206,-2946.442890785994
"(2, 1, 3)","(1, 1, 0, 5)",-2968.1522142244758,-2936.7811743195407
"(2, 0, 1)","(1, 1, 0, 5)",-2953.7003516514806,-2931.2848148941944
"(1, 0, 2)","(1, 1, 0, 5)",-2951.010767441919,-2928.587591263743
"(1, 0, 3)","(1, 1, 0, 5)",-2953.9474787395247,-2927.0396673257133
"(3, 1, 3)","(1, 1, 0, 5)",-2961.5875996103596,-2925.7472431149463
"(1, 0, 1)","(1, 1, 0, 5)",-2943.670408938752,-2925.7318679962113
"(2, 0, 2)","(1, 1, 0, 5)",-2951.7600440622364,-2924.861399953493
"(2, 0, 0)","(1, 1, 0, 5)",-2942.6293200439673,-2924.6968906381385
